date,open,high,low,close,Volume USDT,fng_value
2021-10-20 08:00:00,63999.98000000,64250.00000000,63955.40000000,64031.44000000,90322838.80918630,82
2021-10-20 09:00:00,64031.43000000,64195.52000000,63850.00000000,64015.24000000,69632114.12532010,82
2021-10-20 10:00:00,64015.24000000,64050.00000000,63750.00000000,63829.99000000,122895553.37712430,82
2021-10-20 11:00:00,63829.99000000,63930.00000000,63697.69000000,63791.10000000,74397023.27229320,82
2021-10-20 12:00:00,63788.00000000,64555.00000000,63760.00000000,64374.29000000,180431998.76559690,82
2021-10-20 13:00:00,64374.29000000,66100.00000000,64145.51000000,66040.59000000,482304888.03344014,82
2021-10-20 14:00:00,66040.60000000,67000.00000000,65706.07000000,66686.84000000,491201322.58027384,82
2021-10-20 15:00:00,66686.85000000,66900.78000000,66303.99000000,66875.83000000,273516829.94760890,82
2021-10-20 16:00:00,66875.84000000,66940.73000000,66340.01000000,66449.01000000,218153605.37083350,82
2021-10-20 17:00:00,66449.01000000,66538.61000000,66104.32000000,66363.02000000,161492312.87285900,82
2021-10-20 18:00:00,66363.02000000,66700.00000000,66323.27000000,66644.01000000,111226137.32270420,82
2021-10-20 19:00:00,66644.00000000,66700.00000000,66238.00000000,66397.59000000,114507604.68435270,82
2021-10-20 20:00:00,66397.60000000,66444.47000000,65662.95000000,66002.03000000,161226014.91442300,82
2021-10-20 21:00:00,65993.78000000,66064.90000000,65567.00000000,65807.50000000,84937790.30209270,82
2021-10-20 22:00:00,65807.50000000,66096.26000000,65462.00000000,65903.19000000,79198937.89387560,82
2021-10-20 23:00:00,65903.19000000,66189.81000000,65854.74000000,66001.41000000,76799025.44764770,82
2021-10-21 00:00:00,66001.40000000,66033.64000000,65550.66000000,65622.05000000,145302318.50672210,84
2021-10-21 01:00:00,65622.04000000,65700.00000000,64620.00000000,64992.18000000,224011212.13111160,84
2021-10-21 02:00:00,64992.18000000,65381.41000000,64062.82000000,64940.18000000,294344302.12146530,84
2021-10-21 03:00:00,64940.17000000,65195.00000000,64432.30000000,65069.02000000,152215297.34440930,84
